leader.1,controlfield.1,controlfield.2,controlfield.3,controlfield.4,datafield.1,datafield.2,datafield.3,datafield.4,datafield.5,datafield.6,datafield.7,datafield.8,datafield.9,datafield.10,datafield.11,datafield.12,datafield.13,datafield.14,datafield.15,datafield.16,datafield.17,datafield.18,datafield.19
00317nx  a22001091i 4500,22318498110001488,9980205280101488,1104282u    8   4001uulat0000000,20150211144618.0,"
      DIGI_0033_0135
    ","
      GK46203-508 (Van Herck, Alfons)
      Manuscriptdon
      201104
    ","
      BIBC
      BRES
      Ms. 335
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ",,,,,,,,,,,,,,
     nx  a22     1i 4500,22321183580001488,9985051780101488,1204202u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1403
    ","
      PK144 (Mevr. Gasia)
      Manuscriptacq
      201204
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      1988.06.02
    ","
      BIBC
      CaaCD Douai 3
    ",,,,,,,,,,,,,,
00655nx  a22001811i 4500,22318393760001488,9980078320101488,1103302u    8   4001uulat0000000,20150209114209.0,"
      DIGI_0033_0107
    ","
      201103
    ","
      Ex libris (defaced by newly pasted ex-libris)
      Handwritten
    ","
      Nihil novi tam querimus
      Dedication
    ","
      BIBC
      BRES
      Ms. 307
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Ex libris (defaced by newly pasted ex-libris)
      Ex libris
      Handwritten
    ","
      Nihil novi tam querimus
      Dedication
      Nihil novi tam querimus
    ","
      BIBC
      CaaCDmedica3
    ","
      Bandcover in very poor condition and damaged
    ",,,,,,,,
     nx  a22     1i 4500,22318989280001488,9982453500101488,1107142u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0013
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      Bandcover in very poor condition ; humidity damage
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B9
    ",,,,,,,,,,,,
     nx  a22     1i 4500,22321174260001488,9985047220101488,1204192u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1354
    ","
      K177163
      Manuscriptacq
      201204
    ","
      Bandcover is very poor condition en manuscript is severed damaged by mice(?)
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      1985.05.31
    ","
      Engelen, Cor
    ","
      BIBC
      CaaCD4
    ","
      Engelen, Cor
    ",,,,,,,,,,,
     nx  a22     1i 4500,22319017210001488,9982444200101488,1107132u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0005
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      At the end : 2 small leaflets are inserted
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B3/3
    ",,,,,,,,,,,,
00416nx  a22001331i 4500,22319799300001488,9983089150101488,1109192u    8   4001uulat0000000,20150212110415.0,"
      DIGI_0033_0140
    ","
      201109
    ","
      Corselis, Josephus
      Handwritten
    ","
      BIBC
      BRES
      Ms. 340
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Corselis, Josephus
      Ex libris J. Corselis harlbacensis. 1785
      Handwritten
    ","
      Only titlepage
    ",,,,,,,,,,,,
     nx  a22     1i 4500,22318697470001488,9982465140101488,1107182u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0018
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      Bandcover in poor condition
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B12/2
    ",,,,,,,,,,,,
00747nx  a22002171i 4500,22321161730001488,9983686250101488,20150904135744.0,1111292u    8   4001uulat0000000,"
      DIGI_0033_0403
    ","
      Geraardsbergen: C.J.
      Manuscriptdep
      201111
    ","
      Geraardsbergen: C.J.
    ","
      Calfskin
      gold tooled spine
    ","
      GBIB
      GBIB
      PM0326
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host GBIB
    ","
      Ex Cathedra project
    ","
      UBKUL collegedictaten 2015 MSB
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 september 03
    ","
      Geraardsbergen: C.J.
    ","
      GBIB
      Ms CJ 29 J 24
    ","
      Digital version renders the covers and a small selection of the folios
    ",,,,,
00326nx  a22001091i 4500,22319913240001488,9983141220101488,20150216094202.0,1109282u    8   4001uulat0000000,"
      DIGI_0033_0147
    ","
      Baggerman, Georges
      Manuscriptdon
      201109
    ","
      BIBC
      BRES
      Ms. 347
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Bookcover is severe damaged
    ",,,,,,,,,,,,,,
00619nx  a22001931i 4500,22318382000001488,9980116750101488,20150209134550.0,1104072u    8   4001uulat0000000,"
      DIGI_0033_0114
    ","
      K54903 (Antiquariaat C. Engelen (Leuven))
      Manuscriptacq
      201104
    ","
      Van Mallot, P.
      Handwritten
    ","
      Coucke, M. M.
      Handwritten
    ","
      BIBC
      BRES
      Ms. 314
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Van Mallot, P.
      P. Van Mallot
      Handwritten
    ","
      Coucke, M. M.
      M. M. Coucke febr. 1972
      Handwritten
    ","
      BIBC
      CaaCD22
    ","
      BIBC
      C203
    ","
      1975
    ",,,,,,,
00968nx  a22002531i 4500,22321169420001488,9983684110101488,20150903113242.0,1111292u    8   4001uulat0000000,"
      DIGI_0033_0401
    ","
      Geraardsbergen: C.J.
      Manuscriptdep
      201111
    ","
      Institution des Josephites a Bruxelles
      Ownership stamp
    ","
      Paye ... vente de ... 5 mai 1845
      Handwritten
    ","
      Geraardsbergen: C.J.
    ","
      GBIB
      GBIB
      PM0324
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host GBIB
    ","
      Ex Cathedra project
    ","
      UBKUL collegedictaten 2015 MSB
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 september
    ","
      Institution des Josephites a Bruxelles
      Ownership stamp
    ","
      Paye ... vente de ... 5 mai 1845
      Handwritten
    ","
      Geraardsbergen: C.J.
    ","
      GBIB
      Ms CJ 17 D 16
    ","
      Digital version renders the covers and a small selection of the folios
    ",,
     nx  a22     1i 4500,22318927160001488,9982444800101488,1107132u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0006
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B4/1
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22320204720001488,9984909340101488,1203152u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Herne Heeswijk
      Ms. M9
    ","
      BIBC
      BRES
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22320162140001488,9984817940101488,1203052u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Berne Heeswijk
      Ms. K1
    ","
      BIBC
      BRES
    ",,,,,,,,,,,,,
00351nx  a22001211i 4500,22318518600001488,9980783110101488,1105022u    8   4001uulat0000000,20150211155354.0,"
      DIGI_0033_0136
    ","
      Henri Godts (veiling)
      200906
      2009, 13/1, nr. 396
      Manuscriptacq
    ","
      201105
    ","
      BIBC
      BRES
      Ms. 336
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ",,,,,,,,,,,,,
00336nx  a22001211i 4500,22320199440001488,9984825290101488,1203062u    8   4001uulat0000000,20150311110024.0,"
      201203
    ","
      BIBC
      BRES
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Berne Heeswijk
      Ms. R2
    ",,,,,,,,,,,,,
00274nx  a22001091i 4500,22319882010001488,9983137190101488,1109282u    8   4001uulat0000000,20150212115452.0,"
      DIGI_0033_0143
    ","
      201109
    ","
      BIBC
      BRES
      Ms. 343
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Incomplete
    ",,,,,,,,,,,,,,
     nx  a22     1i 4500,22318989930001488,9982443260101488,1107132u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0004
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B3/2
    ",,,,,,,,,,,,,
00852nx  a22002051i 4500,22319815900001488,9983091750101488,1109192u    8   4001uulat0000000,20150212110757.0,"
      DIGI_0033_0141
    ","
      201109
    ","
      Vyvens, Emmanuel Livinus
      Handwritten
    ","
      Vyvens, Lucovicus
      Handwritten
    ","
      Sint-Niklaas, Klein seminarie
      Ownership stamp
    ","
      Drongen, Sint-Paulusseminarie
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 341
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Vyvens, Emmanuel Livinus
      hujus 2 Libri posseessor est Emmanuël Livinus Vyvens
      Handwritten
    ","
      Vyvens, Lucovicus
      Ex Libris Ludovici Vyvens ex Cruyshautem
      Handwritten
    ","
      Sint-Niklaas, Klein seminarie
      Klein seminari St Niklaas
      Ownership stamp
    ","
      Drongen, Sint-Paulusseminarie
      Ownership stamp
    ","
      BIBC
      C102
    ",,,,,,
00334nx  a22001211i 4500,22319811550001488,9983128140101488,20150217130708.0,1109262u    8   4001uufre0000000,"
      Mevr. P[rosper] Poullet
      Manuscriptdon
      201109
    ","
      BIBC
      BRES
      Ms. 345
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      BIBC
      C51/I
    ","
      No bandcover
    ","
      1946
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22319070290001488,9982485500101488,1107252u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0025
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      Bandover is in very very poor condition
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B18
    ",,,,,,,,,,,,
     nx  a22     1i 4500,22318660740001488,9982462360101488,1107182u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0017
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B12/1
    ",,,,,,,,,,,,,
01037nx  a22002771i 4500,22321065830001488,9983697900101488,1111302u    8   4001uulat0000000,20150909130345.0,"
      DIGI_0033_040xx
    ","
      Heverlee : S.J. (bibl. ABSE)
      Manuscriptdep
      201111
      GBIB
    ","
      Heverlee : S.J. (bibl. ABSE)
    ","
      Antwerpen : S.J.
    ","
      Colleg. Antv. Soc. Jesu
      Bookplate
    ","
      Biblioth. du College N. D. a Anvers
      Ownership stamp
    ","
      GBIB
      GBIB
      Ms SJ (ABSE) 87 A 11
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host GBIB
    ","
      Ex Cathedra project
    ","
      UBKUL collegedictaten 2015 MSB
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 september 09
    ","
      Heverlee : S.J. (bibl. ABSE)
    ","
      Antwerpen : S.J.
    ","
      Colleg. Antv. Soc. Jesu
      Colleg. Antv. Soc. Jesu N°
      Bookplate
    ","
      Biblioth. du College N. D. a Anvers
      Ownership stamp
    ","
      Heverlee : S.J. (bibl. ABSE)
      87 A 11
    ","
      201106
    "
     nx  a22     1i 4500,22318632020001488,9982460260101488,1107182u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0015
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B11/1
    ",,,,,,,,,,,,,
00278nx  a22001091i 4500,22319780520001488,9983088940101488,1109192u    8   4001uulat0000000,20150212110114.0,"
      DIGI_0033_0139
    ","
      201109
    ","
      BIBC
      BRES
      Ms. 339
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Only titlepage
    ",,,,,,,,,,,,,,
00607nx  a22001931i 4500,22320944420001488,9983530360101488,20150909130502.0,1111082u    8   4001uulat0000000,"
      DIGI_0033_0409
    ","
      Mechelen: GSM
      Manuscriptdep
      201111
    ","
      Mechelen: GSM
    ","
      GBIB
      GBIB
      GSM Cod. 257
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host GBIB
    ","
      Ex Cathedra project
    ","
      UBKUL collegedictaten 2015 MSB
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 september 09
    ","
      Mechelen: GSM
    ","
      Binding is badly restored
    ",,,,,,,
     nx  a22     1i 4500,22318641510001488,9982461000101488,1107182u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0016
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B11/2
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22318726190001488,9982468040101488,1107192u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0021
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      bandcover in very poor condition
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B15
    ",,,,,,,,,,,,
     nx  a22     1i 4500,22319101900001488,9982488970101488,1107262u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0024
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      Mansucript is in very poor condition: bandcover is missing, also f. 1-35 ; humidity damage
    ","
      F. 142-143 : small leaflet inserted
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B17
    ",,,,,,,,,,,
     nx  a22     1i 4500,22318881060001488,9981118750101488,1106272u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 226
    ","
      PK354 (Vrienden Universiteitsbibliotheek)
      201106
    ","
      No bandcover. Some quires are attached with strings to a small wooden board
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDLilium19
    ",,,,,,,,,,,,,
00304nx  a22001091i 4500,22318929110001488,9981133530101488,1106302u    8   4001uulat0000000,20150211161926.0,"
      DIGI_0033_0137
    ","
      The Romantic Agony
      Manuscriptacq
      201109
    ","
      BIBC
      BRES
      Ms. 337
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ",,,,,,,,,,,,,,,
00450nx  a22001571i 4500,22318325750001488,9980133620101488,1104112u    8   4001uulat0000000,20150209152939.0,"
      DIGI_0033_0119
    ","
      Devos J.
      Manuscriptexch
      201104
    ","
      BIBC
      BRES
      Ms. 319
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD6
    ","
      3 folios are missing at the beginning
    ","
      Some small papers are inserted
    ","
      19830308
    ",,,,,,,,,,
00430nx  a22001331i 4500,22319805730001488,9983125730101488,1109262u    8   4001uulat0000000,20150212112109.0,"
      DIGI_0033_0142
    ","
      The Romantic Agony
      Manuscriptacq
      201109
    ","
      Gelin, R.D.E.
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 342
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Gelin, R.D.E.
      Ex libris R. D.- E. Gelin
      Ownership stamp
    ","
      2008.11.22
    ",,,,,,,,,,,,
00325nx  a22001331i 4500,22318364130001488,9980112510101488,1104062u    8   4001uulat0000000,20150209132106.0,"
      DIGI_0033_0113
    ","
      201104
    ","
      BIBC
      BRES
      Ms. 313
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD21
    ","
      BIBC
      C33
    ",,,,,,,,,,,,
     nx  a22     1i 4500,22318960750001488,9982451950101488,1107142u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0012
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Bernardin, Antonius
      Ex libris Antonii Berdardin Thenensis Philosophus Alumni / ita est / A: Bernardin 1773 / Vivat Porcus
      Handwritten
    ","
      Ms. B8
    ","
      Bernardin, Antonius
      Handwritten
    ",,,,,,,,,,,
00704nx  a22002051i 4500,22321029570001488,9983694770101488,20150904163343.0,1111302u    8   4001uulat0000000,"
      DIGI_0033_0404
    ","
      Geraardsbergen: C.J.
      Manuscriptdep
      201111
    ","
      Geraardsbergen: C.J.
    ","
      Calfskin
      gold tooled spine
    ","
      GBIB
      GBIB
      PM0327
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host GBIB
    ","
      Ex Cathedra project
    ","
      UBKUL collegedictaten 2015 MSB
    ","
      UBD metadata collegedictaten 2015 september 03
    ","
      Geraardsbergen: C.J.
    ","
      GBIB
      Ms CJ 29 J 25
    ","
      Digital version renders the covers and a small selection of the folios
    ",,,,,,
     nx  a22     1i 4500,22318951880001488,9982450100101488,1107142u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0011
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B7
    ",,,,,,,,,,,,,
00299nx  a22001211i 4500,22318425950001488,9980147460101488,1104132u    8   4001uulat0000000,20150210115704.0,"
      DIGI_0033_0123
    ","
      201104
    ","
      BIBC
      BRES
      Ms. 323
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD36
    ",,,,,,,,,,,,,
00433nx  a22001211i 4500,22319927650001488,9983142560101488,1109282u    8   4001uulat0000000,20150216095629.0,"
      DIGI_0033_0148
    ","
      GK38815-2
      Manuscriptdon
      201109
    ","
      Crul, Adrianus
      Handwritten
    ","
      BIBC
      BRES
      Ms. 348
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Crul, Adrianus
      Hujus libri possessor est Adrianus Curl studens sintaxi Casterlae 1747
      Handwritten
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22320100140001488,9984809220101488,1203022u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Berne Heeswijk
      Ms. O2
    ","
      BIBC
      BRES
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22320505570001488,9985038880101488,1204182u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1313
    ","
      De Smet, Jozef Maria (Kortrijk)
      Manuscriptdon
      201204
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      BIBC
      CaaCD Montpellier 1
    ",,,,,,,,,,,,,,,
     nx  a22     1i 4500,22320136970001488,9984813000101488,1203022u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Herne Heeswijk
      Ms. K6
    ","
      BIBC
      BRES
    ",,,,,,,,,,,,,
00929nx  a22002651i 4500,22320901890001488,9983524100101488,20150909130600.0,1111072u    8   4001uulat0000000,"
      DIGI_0033_0407
    ","
      Mechelen: GSM
      Manuscriptdep
      201111
    ","
      Mechelen: GSM
    ","
      Cleymans, Petrus
      Handwritten
    ","
      van Gilse, [D.C.?]
      Handwritten
    ","
      De Coster, H. L.
      Ownership stamp
    ","
      GBIB
      GBIB
      GSM Cod. 103
    ","
      UBKUL collegedictaten 2015 MSB
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 september 08
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host GBIB
    ","
      Ex Cathedra project
    ","
      Mechelen: GSM
    ","
      Cleymans, Petrus
      Handwritten
    ","
      van Gilse, [D.C.?]
      Handwritten
    ","
      De Coster, H. L.
      H. L. De Coster chanoine Malines
      Ownership stamp
    ","
      Binding in poor condition
    ",
00472nx  a22001571i 4500,22318382940001488,9980180330101488,20150211093642.0,1104202u    8   4001uulat0000000,"
      DIGI_0033_0130
    ","
      Antiquariaat Henri Godts (Brussel)
      Manuscriptacq
      201104
    ","
      BIBC
      BRES
      Ms. 330
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD10
    ","
      No bandcover ; manuscript in very poor condition
    ","
      F. 90-91 : stub
    ","
      20061010
    ",,,,,,,,,,
     nx  a22     1i 4500,22321321210001488,9985095150101488,1205022u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1433
    ","
      PK 257-1 (Bockstaele, Paul)
      Manuscriptacq
      201205
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      1992.06.12
    ","
      BIBC
      CaaCD15
    ",,,,,,,,,,,,,,
00428nx  a22001451i 4500,22318362710001488,9980073640101488,1103302u    8   4001uulat0000000,20150205113951.0,"
      DIGI_0033_0106
    ","
      Moorthamers (Brussel)
      Manuscriptacq
      201103
    ","
      BIBC
      BRES
      Ms. 306
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDMedica1
    ","
      Bandcover in very poor condition and damaged
    ","
      19811107
    ",,,,,,,,,,,
00873nx  a22002411i 4500,22321139910001488,9983680640101488,20150904135752.0,1111282u    8   4001uulat0000000,"
      DIGI_0033_0402
    ","
      Geraardsbergen: C.J.
      Manuscriptdep
      201111
    ","
      Institution des Josephites a Bruxelles
      Ownership stamp
    ","
      Geraardsbergen: C.J.
    ","
      Parchment
    ","
      GBIB
      GBIB
      PM0325
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host GBIB
    ","
      Ex Cathedra project
    ","
      UBKUL collegedictaten 2015 MSB
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 september 03
    ","
      Institution des Josephites a Bruxelles
      Ownership stamp
    ","
      Geraardsbergen: C.J.
    ","
      GBIB
      Ms CJ 17 D 15
    ","
      Digital version renders the covers and a small selection of the folios
    ",,,
     nx  a22     1i 4500,22318983940001488,9982454010101488,1107142u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0014
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      F. 10-11, 12-13: small leaflet is inserted
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B10
    ",,,,,,,,,,,,
     nx  a22     1i 4500,22318339330001488,9980094080101488,1104042u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 308
    ","
      Antiquariaat E. van Balberghe (Brussel)
      Manuscriptacq
      201104
    ","
      Bandcover in very poor condition
    ","
      F. 122-123 : 3 folios are missing
    ","
      Water damage
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      19870730
    ","
      Havelange, Benedictus
      Ad me Benedictum Havelange parochum in Junglinster [...]
      Handwritten
    ","
      BIBC
      CaaCD26
    ","
      Havelange, Benedictus
      Handwritten
    ",,,,,,,,
     nx  a22     1i 4500,22318957000001488,9982448600101488,1107132u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0010
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B6
    ",,,,,,,,,,,,,
00493nx  a22001451i 4500,22318440940001488,9980151480101488,1104142u    8   4001uulat0000000,20150210131615.0,"
      DIGI_0033_0125
    ","
      201104
    ","
      Bibliotheek Instituut St. Louis Oudenbosch
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 325
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bibliotheek Instituut St. Louis Oudenbosch
      Bibliotheek ""Inst. St. Louis"" Oudenbosch
      Ownership stamp
    ","
      BIBC
      CaaCD17
    ",,,,,,,,,,,
     nx  a22     1i 4500,22318903460001488,9982428510101488,1107052u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0002
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      Bandcover in poor condition
    ","
      At the beginning, f. 47-48 : small leaflet
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      De Brienen, Carolus Maximilianus
      Charle De Brienen Philosophe à Louvain. L'an 1783
      Handwritten
    ","
      Ms. B2
    ","
      De Brienen, Carolus Maximilianus
      Handwritten
    ",,,,,,,,,
00719nx  a22002051i 4500,22320930230001488,9983528950101488,20150909130639.0,1111072u    8   4001uulat0000000,"
      DIGI_0033_0408
    ","
      Mechelen: GSM
      Manuscriptdep
      201111
    ","
      Mechelen: GSM
    ","
      GBIB
      GBIB
      GSM Cod. 256
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host GBIB
    ","
      Ex Cathedra project
    ","
      UBKUL collegedictaten 2015 MSB
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 september 08
    ","
      Mechelen: GSM
    ","
      Binding is in poor condition and damaged (fungus?)
    ","
      Digital version renders the covers and a small selection of the folios
    ",,,,,,
00624nx  a22001691i 4500,22318342040001488,9980047390101488,1103242u    8   4001uulat0000000,20150205100533.0,"
      DIGI_0033_0102
    ","
      The Romantic Agony
      Manuscriptacq
      201103
      2008, cat. 35, nr. 1053/3
    ","
      Gelin, R.D.E.
      Ownership stamp
    ","
      O.F.M. in Belgio
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 302
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Gelin, R.D.E.
      Ex libris R. D.-E. Gelin
      Ownership stamp
    ","
      O.F.M. in Belgio
      O.F.M. in Belgio Sig. Studii Partis Wallonicae
      Ownership stamp
    ","
      20081122
    ",,,,,,,,,
00642nx  a22001691i 4500,22318413220001488,9980184590101488,1104212u    8   4001uulat0000000,20150211103801.0,"
      DIGI_0033_0131
    ","
      Antiquariaat Henri Godts (Brussel)
      Manuscriptacq
      201104
    ","
      BIBC
      BRES
      Ms. 331
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD11
    ","
      2013: restoration by Myriam van Herck (Heverlee), book restorator
    ","
      Bandcover restored with brown adhesive film ; in very poor condition
    ","
      Tractatus de calendaria ecclesiastica : numerous notes in contemporary handwritting
    ","
      20061010
    ",,,,,,,,,
     nx  a22     1i 4500,22320239610001488,9984875010101488,1203082u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Berne Heeswijk
      Ms. 251
    ","
      BIBC
      BRES
    ",,,,,,,,,,,,,
